Plaka No;Adı;Yüzölçümü;Nüfusu;Nüfus Yoğunluğu;Merkez;Merkez Nüfusu;Bölge;Deniz
1;Adana;14256;1849478;12973;Adana;1130710;Akdeniz;yes
2;Adıyaman;7572;623811;8238;Adıyaman;178538;Güneydoğu Anatolia;no
3;Afyon;14532;812416;5591;Afyon;128516;Ege;no
4;Ağrı;11315;528744;4673;Ağrı;79764;Doğu Anatolia;no
5;Amasya;5731;365231;6373;Amasya;74393;Karadeniz;no
6;Ankara;25615;4007860;15647;Ankara;3203362;İç Anatolia;no
7;Antalya;20599;1719751;8349;Antalya;603190;Akdeniz;yes
8;Artvin;793;191934;2562;Artvin;23157;Karadeniz;yes
9;Aydın;7922;950757;12001;Aydın;142267;Ege;yes
10;Balıkesir;14442;1076347;7453;Balıkesir;215436;Marmara;yes
11;Bilecik;4181;194326;4648;Bilecik;34105;Marmara;no
12;Bingöl;8402;253739;302;Bingöl;68876;Doğu Anatolia;no
13;Bitlis;8413;388678;462;Bitlis;44923;Doğu Anatolia;no
14;Bolu;10716;270654;2526;Bolu;84565;Karadeniz;no
15;Burdur;7238;256803;3548;Burdur;63363;Akdeniz;no
16;Bursa;11087;2125140;19168;Bursa;1194687;Marmara;yes
17;Çanakkale;9887;464975;4703;Çanakkale;75810;Marmara;yes
18;Çankırı;8411;270355;3214;Çankırı;62508;İç Anatolia;no
19;Çorum;12833;597065;4653;Çorum;161321;Karadeniz;no
20;Denizli;11716;850029;7255;Denizli;275480;Ege;no
21;Diyarbakır;15162;1362708;8988;Diyarbakır;545983;Güneydoğu Anatolia;no
22;Edirne;6241;402606;6451;Edirne;119298;Marmara;yes
23;Elazığ;9181;569616;6204;Elazığ;266495;Doğu Anatolia;no
24;Erzincan;11974;316841;2646;Erzincan;107175;Doğu Anatolia;no
25;Erzurum;24741;937389;3789;Erzurum;361235;Doğu Anatolia;no
26;Eskişehir;13904;706009;5078;Eskişehir;482793;İç Anatolia;no
27;Gaziantep;7194;1285249;17866;Gaziantep;853513;Güneydoğu Anatolia;no
28;Giresun;7151;523819;7325;Giresun;83636;Karadeniz;yes
29;Gümüşhane;6125;186953;3052;Gümüşhane;30270;Karadeniz;no
30;Hakkari;7729;236581;3061;Hakkari;58145;Doğu Anatolia;no
31;Hatay;5678;1253726;2208;Antakya;144910;Akdeniz;yes
32;Isparta;8733;513681;5882;Isparta;148496;Akdeniz;no
33;Mersin;15737;1651400;10494;Mersin;537842;Akdeniz;yes
34;İstanbul;5170;10018735;193786;İstanbul);8803468;Marmara;yes
35;İzmir;11811;3370866;2854;İzmir;2232265;Ege;yes
36;Kars;9594;325016;3388;Kars;78473;Doğu Anatolia;no
37;Kastamonu;13473;375476;2787;Kastamonu;64606;Karadeniz;yes
38;Kayseri;17116;1060432;6196;Kayseri;536392;İç Anatolia;no
39;Kırklareli;6056;328461;5424;Kırklareli;53221;Marmara;yes
